,block_number,block_timestamp,block_time,rai_redemption_price,rai_balance,rai_balance_usd,threecrv_balance,total_pool_balance
97,13731171,1638501159,2021-12-03 04:12:39,3.0292040377613447,8962.328077948016,27148.720401462,19310.296575672106,46459.0169771341
98,13732171,1638515026,2021-12-03 08:03:46,3.0292040377613447,9095.162482648255,27551.10291653359,19310.280009543236,46861.382926076825
99,13733171,1638528459,2021-12-03 11:47:39,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
100,13734171,1638542545,2021-12-03 15:42:25,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
101,13735171,1638556795,2021-12-03 19:39:55,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
102,13736171,1638570070,2021-12-03 23:21:10,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
103,13737171,1638583700,2021-12-04 03:08:20,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
104,13738171,1638597830,2021-12-04 07:03:50,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
105,13739171,1638612052,2021-12-04 11:00:52,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
106,13740171,1638626195,2021-12-04 14:56:35,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
107,13741171,1638639633,2021-12-04 18:40:33,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
108,13742171,1638654049,2021-12-04 22:40:49,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
109,13743171,1638667803,2021-12-05 02:30:03,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
110,13744171,1638681639,2021-12-05 06:20:39,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
111,13745171,1638695016,2021-12-05 10:03:36,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
